Rally,Favorited,Start Time,Video Time,Duration
1,false,19:13:17,,12.71
2,false,19:14:07,,0.6
3,false,19:14:20,,1.07
4,false,19:14:33,,0.45
5,false,19:15:06,,0.57
6,false,19:15:23,,0.7
7,false,19:15:49,,0.53
8,false,19:16:06,,0.57
9,false,19:16:42,,0.53
10,false,19:16:57,,0.6
11,false,19:17:14,,0.97
12,false,19:17:34,,0.53
13,false,19:17:49,,12.69
14,false,19:18:27,,0.63
15,false,19:19:00,,0.6
16,false,19:19:23,,0.57
17,false,19:19:43,,0.53
18,false,19:20:22,,0.53
19,false,19:20:57,,0.48
20,false,19:21:33,,0.73
21,false,19:21:47,,0.35
22,false,19:22:02,,0.47
23,false,19:22:33,,0.73
24,false,19:22:51,,0.5
25,false,19:23:07,,0.5
26,false,19:23:30,,0.63
27,false,19:23:46,,0.6
28,false,19:24:06,,0.47
29,false,19:24:24,,9.14
30,false,19:24:57,,0.35
31,false,19:25:19,,0.42
32,false,19:25:40,,0.5
33,false,19:26:02,,0.5
34,false,19:26:17,,1.13
35,false,19:26:23,,1.03
36,false,19:26:48,,0.57
37,false,19:27:11,,0.5
38,false,19:27:34,,0.52
39,false,19:27:54,,0.42
40,false,19:28:19,,0.57
41,false,19:28:41,,0.63
42,false,19:29:06,,0.57
43,false,19:29:25,,0.5
44,false,19:29:40,,12.58
45,false,19:30:10,,0.32
46,false,19:30:34,,0.32
47,false,19:30:52,,0.47
48,false,19:31:11,,0.67
49,false,19:31:37,,0.6
50,false,19:31:55,,0.5
51,false,19:32:20,,0.5
52,false,19:32:37,,0.57
53,false,19:33:10,,0.42
54,false,19:33:34,,0.32
55,false,19:33:46,,0.57
56,false,19:34:15,,0.35
57,false,19:34:37,,0.57
58,false,19:34:50,,12.94
59,false,19:35:58,,15.18
60,false,19:36:27,,0.32
61,false,19:36:45,,25.08
62,false,19:37:14,,0.9
63,false,19:37:36,,0.53
64,false,19:37:53,,0.32
65,false,19:38:20,,0.53
66,false,19:38:37,,0.63